"142","N1","克","コク","か.つ","surmonter, gentil, bienveillant, adroitement"
"143","N1","免","メン","まぬか.れる, まぬが.れる","excuse, licenciement"
"144","N2","児","ジ, ニ","こ","nouveau-né, enfant"
"145","N2","党","トウ","なかま, むら","parti politique, faction"
"146","N5","入","ニュウ, ジュ","い.る, い.れる, はい.る","entrer, insérer"
"147","N3","全","ゼン","すべ.て","totalité, tout, en entier"
"148","N5","八","ハチ","や, や.つ, やっ.つ, よう","huit"
"149","N2","公","コウ, ク","おおやけ","public, officiel"
"150","N5","六","ロク, リク","む","six"
"151","N3","共","キョウ","とも","marque du pluriel, ensemble, les deux"
"152","N2","兵","ヘイ, ヒョウ","つわもの","soldat, guerrier, troupes"
"153","N3","具","グ","そな.える, つぶさ.に","ustensile, outil, meuble"
"154","N1","典","テン, デン","-","cérémonie, code, règle"
"155","N1","兼","ケン","か.ねる","simultanément, en même temps, cumuler"
"156","N3","内","ナイ, ダイ","うち","intérieur, dedans, maison"
"157","N5","円","エン","まる.い","cercle, yen, rond"
"158","N2","冊","サツ, サク","ふみ","tome, volume, compteur pour les livres"
"159","N2","再","サイ, サ","ふたた.び","pour la seconde fois, de nouveau"
"160","N1","冒","ボウ","おか.す","affronter, défier, faire face à, risquer"
"161","N1","冗","ジョウ","-","superflu, inutile"
"162","N4","写","シャ","うつ.す","copier, reproduire"
"163","N1","冠","カン","かんむり","couronne, inégalable"
"164","N4","冬","トウ","ふゆ","hiver"
"165","N1","冶","ヤ, じ","-","fusion, fonte"
"166","N3","冷","レイ","つめ.たい, ひ.える","glacé, froid (au contact), refroidir"
"167","N1","准","ジュン","-","quasi-, semi-, associé"
"168","N2","凍","トウ","こお.る, こご.える, い.てる, し.みる","geler, congeler"
"169","N1","凝","ギョウ","こ.らす, こご.らす","congeler, glacer, raide, être absorbé par"
"170","N1","凡","ボン","およ.そ, すべ.て","médiocre, banal, quelconque"
"171","N3","処","ショ","ところ","vierge, sentence, lieu"
"172","N1","凶","キョウ","-","méchant, mal, malchance, désastre"
"173","N1","凸","トツ","でこ","convexe, inégal (en parlant d'une surface)"
"174","N1","凹","オウ","くぼ.む, へこ.む, ぼこ","concave, creux"
"175","N5","出","シュツ, スイ","で.る, だ.す, い.でる","sortir, quitter, présence"
"176","N1","刀","トウ","かたな, そり","sabre, épée"
"177","N1","刃","ジン, ニン","は, やいば, き.る","lame, épée, tranchant d'une lame"
